"","site.year","MxDAT","MnDAT","MxDMT","MnDMT","MnDNT","NDNT","MxWMT","MxWAT","CDD","WAT5","WAT25","WAT50","WAT75","WAT95","MA7d_DMT","MA7d_DAT","DELTA_MAX","SIGMA_MN","SIGMA_MIN","SIGMA_MAX","CV_MN","CV_MIN","CV_MAX","RNG","SUM_13","SUM_18","SUM_20","SUM7d_13","SUM7d_18","SUM_event13","SUM_event18","SUM_MA7d_13","SUM_MA7d_18","SUM_MA7d_20","DUR_mx13","DUR_mn13","DUR_mx18","DUR_mn18","DUR_mx20","DUR_mn20","MxDMT_jd","MA7d_DMT_jd","WDMT_jd","D_RNG","site","year"
"23","Deception_2011",13.85172917,10.806070122,9.01933253963338,7.03277571028891,2.05027943420237,1.11174130706966,7.27446187050248,12.1672068457143,443.048875002,9.30320446445714,9.66931994057143,11.0358497018571,11.9418244057143,12.1221303577143,7.682159181811,12.6011860114286,7.38885454867395,2.22717745466866,0.203833559408651,0.86297811665827,0.138105072255447,0.220203789622407,0.132090968489735,7.90759123256371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.98249627608654,"Deception","2011"
"24","Deep_2002",15.08,12.5845161290323,9.04969151122701,6.84754370669869,1.97627954488661,0.661958235113294,7.10262586870801,14.37,780.24,10.6557142857143,11.6885714285714,12.9842857142857,13.4585714285714,14.178,7.4616774057323,14.4071428571429,6.86543903071534,2.18429730301428,0.205193872090454,1.10568351174688,0.117440895211329,0.229210135475213,0.153560884054854,8.38773327611371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.87126416181209,"Deep","2002"
"25","Deep_2003",18.02,14.035,9.22955904834575,6.82177106323663,1.84788146445688,0.386383547527503,7.13750098543423,16.2471428571429,870.17,11.2265714285714,13.3010714285714,14.6107142857143,15.3917857142857,16.0306428571429,7.84134692467229,16.4457142857143,7.81557219637039,4.19253032786885,0.276808116018261,1.20524889766693,0.145890055489036,0.284718246651584,0.16093156362993,8.84317550081825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.97388959877976,"Deep","2003"
"26","Deep_2004",18.28635417,14.7937020504762,10.1539714169837,7.04311450655848,2.05030881644189,0.74213665698377,7.52747219844187,16.7184672628571,932.00322918,13.1572269351429,13.8675558042857,15.4063020828571,15.8263802082143,16.6071547628571,7.72623918619302,17.7650000014286,7.26277403099742,2.68645955131594,0.199158423813771,1.22364112396543,0.110793245726461,0.217660719810962,0.15705880290242,9.41183475999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.99280569011659,"Deep","2004"
"27","Deep_2005",17.31,14.0237096774194,9.91922880714949,7.26332798544232,1.98584020667348,0.756258320790682,7.53171692914576,15.6957142857143,869.47,12.3348571428571,13.2746428571429,14.3135714285714,15.1632142857143,15.6642142857143,7.94301252660999,16.5185714285714,7.79237292733036,2.41762371760973,0.176421862763828,1.17673637444236,0.110874440551377,0.211510485527432,0.149349555153767,9.16297048635881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.27748777876884,"Deep","2005"
"28","Deep_2006",15.34,11.9966129032258,9.78138713385586,6.73943709603157,2.0218004683862,1.06521155124725,7.17192820284186,13.9157142857143,743.79,10.2702142857143,11.5510714285714,12.3907142857143,13.0085714285714,13.7377142857143,7.44880819067207,13.9157142857143,8.4819843869254,2.64700309360127,0.216252157691593,1.03402914107666,0.135618388278075,0.230007465214027,0.150883852746458,8.71617558260861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.71763662764537,"Deep","2006"
"29","Deep_2007",16.46,12.6717741935484,9.54460486023111,6.8692844537848,2.03712022023939,0.893940285891027,7.18054833024913,13.9042857142857,785.65,11.4295238095238,12,12.4385714285714,13.3485714285714,13.8865714285714,7.76221236154106,14.9614285714286,7.73521885055655,2.10259516129032,0.239518927206366,1.20112922762279,0.114430133596052,0.240244392323165,0.159545061893998,8.65066457434009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.83216423354542,"Deep","2007"
"30","Deep_2008",13.77,10.937619047619,9.38332796196972,6.94462326405591,2.05994784968241,1.10709170781511,7.47093555545674,11.9857142857143,689.07,10.2431428571429,10.38,10.7971428571429,11.4333333333333,11.9251428571429,7.7728673326732,12.48,7.68089000832214,1.09512165898618,0.264697372326737,1.19241737146541,0.0956771854609646,0.249757529143988,0.157240876604717,8.27623625415461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.8846754143735,"Deep","2008"
"31","Deep_2009",17.38313542,12.8805040320968,9.39503334179611,6.9449996404965,1.95147688723803,1.07248330508025,7.70039456987827,16.3702157742857,798.59124999,11.0724952390714,11.9746688989286,12.3763802085714,13.33036979,15.9574626487857,7.70039456987827,16.4774791671429,8.32255003671586,3.40349094135467,0.205112200920446,1.05992758888139,0.143228499318462,0.232077124821715,0.148240158508722,8.32255003671586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.99352275325847,"Deep","2009"
"32","Deep_2011",15.52989583,12.3117654568871,9.68392291802792,6.94633378388998,2.04035037184142,0.897094879134287,7.44608886800626,14.0899166657143,763.329458327,10.81915758965,12.1066871275,12.2993712807143,13.17481622,13.8602635407143,7.60010200943014,14.26904613,8.06381133482693,2.12918507447643,0.210175201998283,1.24560136245129,0.118518561895055,0.224691159430339,0.160669665375782,8.78682803889364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.90598341204855,"Deep","2011"
"33","Deshka_2008",16.16,14.31,9.17368491956429,6.95522371079123,2.01482918165666,0.63051232526856,7.4955823491077,15.0785714285714,686.88,13.6737142857143,14.0228571428571,14.31,14.5671428571429,14.9487142857143,7.56133401840271,15.1928571428571,7.04796287703708,0.786953191489362,0.285708664700489,1.03679759491972,0.0619918813607177,0.265291584362771,0.146398250615889,8.54317259429573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.94039452913457,"Deshka","2008"
"34","Deshka_2009",20.355625,14.825738498125,9.27493594555922,6.9659538638564,2.07254429354969,0.961220594994317,7.68996521915474,16.5584657742857,711.63544791,12.5462797617857,13.4036499260714,14.7884494042857,15.3160133917857,16.2529866071429,7.68996521915474,18.79769494,7.83616103533914,4.54461078876257,0.248092890141956,0.992192836140734,0.143791101951361,0.240327427831125,0.142993879757878,8.31371535056491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.89340957030671,"Deshka","2009"
"35","Deshka_2010",17.36052083,12.2600269103542,9.15178194201986,7.0952980286785,2.05316818610498,1.08874313936761,7.62277646157049,13.68011905,588.481291697,11.31710379575,11.5733783482143,11.6256696435714,12.5123247767857,13.4597775314286,7.79692882257633,14.7863377985714,7.45042426545054,2.08931387137002,0.219303814685865,0.910827874261157,0.117899081137526,0.228085967366887,0.134507813897439,8.06303880265225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.04212984257352,"Deshka","2010"
